2953 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,4750,0.109045,TRUE,-73.9969223,40.57390629
        SHORE PARKWAY,Brooklyn,11224,New York City Transit (MTA),222,0.005096,TRUE,-73.98118169,40.58265891
        WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,2450,0.056244,TRUE,-73.98601604,40.57595983
1901 SURF AVENUE,Brooklyn,11224,Housing Preservation and Development,5047,0.115863,TRUE,-73.985911,40.575156
2936 WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,2442,0.056061,TRUE,-73.985937,40.5755709
17 LOUIS PLACE,Brooklyn,11233,Housing Preservation and Development,1788,0.041047,TRUE,-73.91706905,40.67726993
        PARK PLACE,Brooklyn,11233,Housing Preservation and Development,3550,0.081497,TRUE,-73.91479847,40.67106782
        EASTERN PARKWAY,Brooklyn,11233,Housing Preservation and Development,4290,0.098485,TRUE,-73.91369454,40.67170928
        EAST NEW YORK AVENUE,Brooklyn,0,Department of Citywide Administrative Services,1417,0.03253,TRUE,-73.92159945,40.66800726
        DEAN STREET,Brooklyn,11233,Department of Citywide Administrative Services,107,0.002456,TRUE,-73.91018968,40.67495107
        EAST NEW YORK AVENUE,Brooklyn,0,Housing Preservation and Development,4925,0.113062,TRUE,-73.91320823,40.67165685
        EASTERN PARKWAY,Brooklyn,11233,Department of Transportation,4614,0.105923,TRUE,-73.91383089,40.67220344
908 MADISON STREET,Brooklyn,11221,Department of Citywide Administrative Services,2000,0.045914,TRUE,-73.9212963,40.68785126
1814 BERGEN STREET,Brooklyn,11233,Department of Citywide Administrative Services,93933,2.156405,TRUE,-73.92063484,40.67405008
440 HERKIMER STREET,Brooklyn,11213,Housing Preservation and Development,2000,0.045914,TRUE,-73.93890446,40.67882616
203 MOTHER GASTON BLVD,Brooklyn,11233,Department of Citywide Administrative Services,1278,0.029339,TRUE,-73.90806712,40.67442225
398 HOWARD AVENUE,Brooklyn,11233,Housing Preservation and Development,1800,0.041322,TRUE,-73.91978756,40.67412635
381 HOPKINSON AVENUE,Brooklyn,11233,NY Police Department,1764,0.040496,TRUE,-73.9141693,40.6713262
        EASTERN PARKWAY,Brooklyn,11233,Housing Preservation and Development,2358,0.054132,TRUE,-73.92111337,40.66875299
        MACON STREET,Brooklyn,11216,Department of Citywide Administrative Services,50,0.001148,TRUE,-73.94708556,40.68114048
229 MARCUS GARVEY BLVD,Brooklyn,11221,Department of Citywide Administrative Services,1600,0.036731,TRUE,-73.93934714,40.69009786
        FULTON STREET,Brooklyn,11233,Housing Preservation and Development,1427,0.032759,TRUE,-73.9158558,40.6787677
        PROSPECT PLACE,Brooklyn,11213,Department of Citywide Administrative Services,2129,0.048875,TRUE,-73.93956139,40.67400943
404 HOWARD AVENUE,Brooklyn,11233,Housing Preservation and Development,3217,0.073852,TRUE,-73.91980221,40.67393422
        CHAUNCEY STREET,Brooklyn,11233,Housing Preservation and Development,837,0.019215,TRUE,-73.92759495,40.68102995
2038 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,1600,0.036731,TRUE,-73.9166053,40.6785114
1953 BERGEN STREET,Brooklyn,11233,Housing Preservation and Development,2143,0.049197,TRUE,-73.91616029,40.67433359
        PACIFIC STREET,Brooklyn,11233,Housing Preservation and Development,1280,0.029385,TRUE,-73.91075836,40.67573088
1911A ATLANTIC AVENUE,Brooklyn,11233,Housing Preservation and Development,1522,0.03494,TRUE,-73.92073208,40.67716821
191 CHAUNCEY STREET,Brooklyn,11233,Housing Preservation and Development,1547,0.035514,TRUE,-73.92736526,40.68086157
20 SUYDAM PLACE,Brooklyn,11233,Housing Preservation and Development,2037,0.046763,TRUE,-73.92682422,40.67778433
        PROSPECT PLACE,Brooklyn,11213,Department of Citywide Administrative Services,2129,0.048875,TRUE,-73.93962267,40.67401221
        PACIFIC STREET,Brooklyn,11213,Department of Sanitation,2143,0.049197,TRUE,-73.93219379,40.67645366
2150 ATLANTIC AVENUE,Brooklyn,11233,Housing Preservation and Development,1667,0.038269,TRUE,-73.91549841,40.67629439
        PARK PLACE,Brooklyn,11233,Housing Preservation and Development,226,0.005188,TRUE,-73.92182331,40.6719978
187 CHAUNCEY STREET,Brooklyn,11233,Housing Preservation and Development,2450,0.056244,TRUE,-73.92755997,40.68084797
        EASTERN PARKWAY,Brooklyn,11233,Department of Citywide Administrative Services,15,0.000344,TRUE,-73.91252499,40.67236378
        FULTON STREET,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.91768774,40.67840946
        EASTERN PARKWAY,Brooklyn,11233,Housing Preservation and Development,2625,0.060262,TRUE,-73.9133735,40.67186274
        BERGEN STREET,Brooklyn,11233,Housing Preservation and Development,2048,0.047016,TRUE,-73.90916417,40.67360792
1704 PACIFIC STREET,Brooklyn,11213,Department of Sanitation,2143,0.049197,TRUE,-73.9321253,40.67645088
99 TRUXTON STREET,Brooklyn,11233,Housing Preservation and Development,1950,0.044766,TRUE,-73.90572836,40.67886415
2024 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.91707535,40.6785373
770 DECATUR STREET,Brooklyn,11207,Housing Preservation and Development,1143,0.02624,TRUE,-73.912329,40.683698
1913 ATLANTIC AVENUE,Brooklyn,11233,Housing Preservation and Development,1522,0.03494,TRUE,-73.92067079,40.67716543
2040 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,1600,0.036731,TRUE,-73.91653815,40.6785077
35 ROCHESTER AVENUE,Brooklyn,11233,Housing Preservation and Development,2058,0.047245,TRUE,-73.92717739,40.67791631
1973 BERGEN STREET,Brooklyn,11233,Housing Preservation and Development,2143,0.049197,TRUE,-73.91556201,40.67446368
416 HOPKINSON AVENUE,Brooklyn,11212,Housing Preservation and Development,2000,0.045914,TRUE,-73.91452091,40.67105115
        PACIFIC STREET,Brooklyn,11233,Housing Preservation and Development,1667,0.038269,TRUE,-73.91733727,40.67611457
13 HUNTERFLY PLACE,Brooklyn,11233,Housing Preservation and Development,1770,0.040634,TRUE,-73.92807884,40.67779336
224 SARATOGA AVENUE,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.9164355,40.678205
106 HOPKINSON AVENUE,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.91440688,40.6812534
1915A ATLANTIC AVENUE,Brooklyn,11233,Housing Preservation and Development,1440,0.033058,TRUE,-73.92055543,40.67715986
        CHAUNCEY STREET,Brooklyn,11233,Housing Preservation and Development,824,0.018916,TRUE,-73.92714558,40.68104268
463 TOMPKINS AVENUE,Brooklyn,11216,Housing Preservation and Development,2000,0.045914,TRUE,-73.9434425,40.681545
1712 BROADWAY,Brooklyn,11207,Housing Preservation and Development,1800,0.041322,TRUE,-73.91179033,40.68356
        DE KALB AVENUE,Brooklyn,11205,Department of Education,26400,0.606061,TRUE,-73.96140263,40.68947465
        UNION STREET,Brooklyn,0,Department of Citywide Administrative Services,594,0.013636,TRUE,-73.92359419,40.66771459
1921 ATLANTIC AVENUE,Brooklyn,11233,Housing Preservation and Development,1440,0.033058,TRUE,-73.92037878,40.6771515
22 SUYDAM PLACE,Brooklyn,11233,Housing Preservation and Development,2037,0.046763,TRUE,-73.92683149,40.6777267
792 MYRTLE AVENUE,Brooklyn,11206,Housing Preservation and Development,2500,0.057392,TRUE,-73.95066385,40.69496832
254 ROCKAWAY AVENUE,Brooklyn,11233,Fire Department,3942,0.090496,TRUE,-73.911409,40.674481
        EASTERN PARKWAY,Brooklyn,0,Department of Citywide Administrative Services,123,0.002824,TRUE,-73.92497819,40.6681161
1901 ATLANTIC AVENUE,Brooklyn,11233,Housing Preservation and Development,1413,0.032438,TRUE,-73.92137375,40.67721531
        ST MARKS AVENUE,Brooklyn,11233,Housing Preservation and Development,2555,0.058655,TRUE,-73.91276941,40.67344328
1662 BERGEN STREET,Brooklyn,11213,Housing Preservation and Development,1866,0.042837,TRUE,-73.92760993,40.67468049
358 MALCOLM X BOULEVARD,Brooklyn,11233,Housing Preservation and Development,1500,0.034435,TRUE,-73.928865,40.680625
772 MYRTLE AVENUE,Brooklyn,11206,Housing Preservation and Development,2500,0.057392,TRUE,-73.95155826,40.69486439
1903A ATLANTIC AVENUE,Brooklyn,11233,Housing Preservation and Development,1200,0.027548,TRUE,-73.92126563,40.6771823
        PUTNAM AVENUE,Brooklyn,11216,Housing Preservation and Development,1333,0.030601,TRUE,-73.95444029,40.68329087
412 HOWARD AVENUE,Brooklyn,11233,Housing Preservation and Development,4300,0.098714,TRUE,-73.91982411,40.67371191
263 MARCUS GARVEY BLVD,Brooklyn,11221,Department of Citywide Administrative Services,2100,0.048209,TRUE,-73.93907,40.688703
687A HANCOCK STREET,Brooklyn,11233,Housing Preservation and Development,1850,0.04247,TRUE,-73.9274505,40.68536579
        FULTON STREET,Brooklyn,11233,Housing Preservation and Development,2500,0.057392,TRUE,-73.91691986,40.67837048
383 HOWARD AVENUE,Brooklyn,11233,Housing Preservation and Development,4000,0.091827,TRUE,-73.91914173,40.67456506
        GUNTHER PLACE,Brooklyn,11233,Department of Citywide Administrative Services,80,0.001837,TRUE,-73.91157244,40.67681562
        PROSPECT PLACE,Brooklyn,0,Department of Citywide Administrative Services,1840,0.042241,TRUE,-73.91231829,40.67205717
        PUTNAM AVENUE,Brooklyn,11221,Housing Preservation and Development,2500,0.057392,TRUE,-73.91987271,40.68726838
2014 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.9174111,40.6785558
        FULTON STREET,Brooklyn,11233,Housing Preservation and Development,2500,0.057392,TRUE,-73.91682974,40.67836492
329 RALPH AVENUE,Brooklyn,11233,Housing Preservation and Development,2250,0.051653,TRUE,-73.92146692,40.67769846
        PARK PLACE,Brooklyn,11233,Housing Preservation and Development,1714,0.039348,TRUE,-73.91363334,40.67164336
1937 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,1993,0.045753,TRUE,-73.91833857,40.678772
        EAST NEW YORK AVENUE,Brooklyn,11212,Department of Citywide Administrative Services,1709,0.039233,TRUE,-73.91226677,40.67187837
        ST MARKS AVENUE,Brooklyn,0,Housing Preservation and Development,1800,0.041322,TRUE,-73.9232269,40.67347074
        PARK PLACE,Brooklyn,11233,Department of Parks & Recreation,1493,0.034275,TRUE,-73.91439766,40.67158629
2178 DEAN STREET,Brooklyn,11233,Housing Preservation and Development,2045,0.046947,TRUE,-73.91552198,40.67476283
        MARCUS GARVEY BLVD,Brooklyn,11221,Department of Citywide Administrative Services,1700,0.039027,TRUE,-73.93893131,40.68887479
494 GATES AVENUE,Brooklyn,11216,Housing Preservation and Development,2000,0.045914,TRUE,-73.94616297,40.68649319
379 HOWARD AVENUE,Brooklyn,11233,Housing Preservation and Development,4217,0.096809,TRUE,-73.91913438,40.67468033
1559 PROSPECT PLACE,Brooklyn,11233,Housing Preservation and Development,3194,0.073324,TRUE,-73.92460858,40.67319089
205 MOTHER GASTON BLVD,Brooklyn,11233,Housing Preservation and Development,1282,0.029431,TRUE,-73.90809243,40.67437012
1297 EAST NEW YORK AVENUE,Brooklyn,11212,Housing Preservation and Development,4275,0.09814,TRUE,-73.91950925,40.66875462
